province,total_days_below_minus_ten
Alberta,32.96390243902439
British Columbia,8.383859649122806
Manitoba,59.943999999999996
New Brunswick,12.488095238095237
Newfoundland and Labrador,16.1590625
Nova Scotia,3.714761904761905
Northwest Territories,114.99608695652174
Nunavut,158.38366666666667
Ontario,18.14463768115942
Prince Edward Island,7.16125
Québec,28.359130434782607
Saskatchewan,47.209629629629625
Yukon,65.99476190476192
